"2 Chainz And Drake-","No Lie (Clean)"
"Quintanilla, Beto","Marisco De Espina Grande"
"Quintanilla, Beto","Pa' Cantar Hay Que Ser Gallo"
"Quintanilla, Beto","Patrulla De Blanco Y Negro"
"Quintanilla, Beto","Requenel Villanueva"
"Quintanilla, Beto","Silencio De Muerte"
"R Kelly","Share My Love"
"R Kelly","Share My Love (MPX)"
"R. Kelly","Feelin' Single"
"R. Kelly","Feelin' Single (MPX)"
"R. Kelly","Green Light"
"R. Kelly","Green Light (MPX)"
"R. Kelly","I Know You Are Hurting"
"R. Kelly","I Know You Are Hurting (MPX)"
"R. Kelly","Lady Sunday"
"R. Kelly","Lady Sunday (MPX)"
"R. Kelly","When A Man Lies"
"R. Kelly","When A Man Lies (MPX)"
"R. Kelly feat. DJ Khaled & Ace Hood","It's On"
"R. Kelly feat. DJ Khaled & Ace Hood","It's On (MPX)"
"Ragazzi","Te Bese"
"Rahsaan Patterson","Crazy (Baby)"
"Rahsaan Patterson","Crazy (Baby) (MPX)"
"Ramazzotti, Eros","La Cosa Mas Bella"
"Ramazzotti, Eros","Otra Como Tu"
"Ramirez, Everardo","Que Te Parece"
"Ramirez, Everardo","Te Salio Caro El Jinete"
"Ramirez, Everardo","Te Salio Caro El Jinete (Voz)"
"Ramiro Ram Herrera","Dile"
"Ramiro Ram Herrera","Dile"
"Ramon Ayala","Baraja de oro"
"Ramon Ayala","Corazon malo"
"Ramon Ayala","Dos monedas"
"Ramon Ayala","El federal de caminos"
"Ramon Ayala","Enseñame a olvidar"
"Ramon Ayala","Gerardo Gonzalez"
"Ramon Ayala","Juan Ramos"
"Ramon Ayala","Los hermanos Bedolla"
"Ramon Ayala","Mi piquito de oro"
"Ramon Ayala","Ni el dinero ni nada"
"Ramon Ayala","Ni recompensa ni esperanza"
"Ramon Ayala","Once tumbas"
"Ramon Ayala","Pero yo no lo conozco"
"Ramon Ayala","Por amor al dinero"
"Ramon Ayala","Puñalada trapera"
"Ramon Ayala","Puño de tierra"
"Ramon Ayala","Que bonito es el amor"
"Ramon Ayala","Quiero que sepas"
"Ramon Ayala","Quisiera tener alas"
"Ramon Ayala","Triste recuerdo"
"Ramon Ayala","Tristes recuerdos"
"Rancheritos Del Topo Chico","Sueno Bonito"
"Ranchero Mujeres","A Pesar De Todo"
"Ranchero Mujeres","Aprendiste A Volar"
"Ranchero Mujeres","El Moro De Cumpas"
"Ranchero Mujeres","Hermoso Carino"
"Ranchero Mujeres","La Ley De La Vida"
"Ranchero Mujeres","La Muerte De Un Gallero"
"Ranchero Mujeres","Las Ilaves De Mi Alma"
"Ranchero Mujeres","Me Voy A Quitar De En Medio"
"Ranchero Mujeres","Para Siempre"
"Ranchero Mujeres","Por Tu Maldito Amor"
"Ranchero Mujeres","Que Te Vaya Bonito"
"Ranchero Mujeres","Si Acaso Vuelves"
"Ranieri, Maximo","Rosas Rojas"
"Raphael","A Mi Manera"
"Raphael","Cierro mis ojos"
"Raphael","Como yo te amo"
"Raphael","Cuando tú no estás"
"Raphael","Desde aquel día"
"Raphael","En carne viva"
"Raphael","Maravilloso corazón"
"Raphael","Mi gran noche"
"Raphael","Que nadie sepa mi sufrir"
"Raphael","Qué sabe nadie"
"Raphael","Qué tal te va sin mi"
"Raphael","Toco madera"
"Raphael","Yo soy aquel"
"Ras Kass feat Agallah","Cokelines"
"Ras Kass feat Agallah","Cokelines (MPX)"
"Ray, Richie & Bobby Cruz","Sonido Bestial (salsa)"
"RBD","Aun Hay Algo"
"RBD","Besame Sin Miedo"
"RBD","Celestial"
"RBD","Celestial"
"RBD","Ensename"
"RBD","Ensename"
"RBD","Este corazón"
"RBD","Este Corazon"
"RBD","Inalcanzable"
"RBD","No Pares"
"RBD","Nuestro Amor"
"RBD","Nuestro Amor"
"RBD","Otro Dia Que Va"
"RBD","Que hay detrás"
"RBD","Que Hay Detras"
"Rbd","Rebelde"
"RBD","Rebelde"
"RBD","Rebelde"
"RBD","Salvame"
"RBD","Ser O Parecer"
"RBD","Ser O Parecer"
"RBD","Solo Quedate En Silencio"
"RBD","Tenerte Y Quererte"
"RBD","Tras de mi"
"RBD","Tu Amor"
"RBD","Tu Amor"
"RBD","Un Poco De Tu Amor"
"Real Chicano","La Vueltecita"
"Real Hooks, The","Comin' After Your Love"
"Real Hooks, The","Comin' After Your Love (MPX)"
"Rebecca Black","Sing It"
"Rebecca Black","Sing It (MPX)"
"Rebeldes Del Rock, Los","la hiedra venenosa"
"Recoditos","Eres dificil"
"Recoditos, Los","Para ti solita"
"Recodo, El","Sin respiracion"
"Rehenes","Corazones rotos"
"Rehenes, Los","Corazones Rotos"
"Rehenes, Los","Limosnero De Carino"
"Reik","Creo en ti"
"Reik","De Que Sirve"
"Reik","Fui"
"Reik","Invierno"
"Reik","Me duele amarte"
"Reik","Niña"
"Reik","Noviembre Sin Ti"
"Reik","Peligro"
"Reik","Peligro"
"Reik","Que Vida La Mia"
"Reik","Tu mirada"
"Reik","Vuelve"
"Reik","Yo quisiera"
"Reik","Yo Quisiera"
"Reik","Yo Quisiera (Tono+1)"
"Relampagos Del Norte","Ahi Perdimos Todo"
"Relampagos Del Norte","Callejon Sin Salida"
"Relampagos Del Norte","Caminar, Caminar"
"Relampagos Del Norte","Capullito De Rosa"
"Relampagos Del Norte","Cobardemente"
"Relampagos Del Norte","Con La Tinta De Mi Sangre"
"Relampagos Del Norte","Desconfianza"
"Relampagos Del Norte","Eso Si Nunca Podras"
"Relampagos Del Norte","Esta Noche O Nunca"
"Relampagos Del Norte","La Calandria"
"Relampagos Del Norte","Me Caiste Del Cielo"
"Relampagos Del Norte","Ni Por Mil Punados De Oro"
"Relampagos Del Norte","Que Tal Si Te Compro"
"Relampagos Del Norte","Rogante"
"Relampagos Del Norte","Tengo Miedo"
"Relampagos Del Norte","Vida Truncada"
"Relampagos, Los","Carta Jugada"
"Relampagos, Los","Cobardemente"
"Relampagos, Los","Comprendi Tu Pena"
"Relampagos, Los","El Dia Que Me Olvides"
"Relampagos, Los","El Disgusto"
"Relampagos, Los","Idos De La Mente"
"Relampagos, Los","Mi Charchina"
"Relampagos, Los","Mi Tesoro"
"Relampagos, Los","Quiero"
"Relampagos, Los","Rey Pobre"
"Relampagos, Los","Tu Lo Escogiste"
"Relampagos, Los","Vuelve Gaviota"
"Renacimiento 74","Ella Es"
"Renacimiento 74","Frescas Rosas"
"Reno, Los","Siempre Te Amare"
"Revolucion De Emiliano Zapata","Como Te Extrano"
"Rey Reyna","Novia mia del alma"
"Rey, Lana Del","Summertime Sadness"
"Reyes Del Camino","20 Anos"
"Reyes Del Camino","Aire"
"Reyes Del Camino","El Novato"
"Reyes Del Camino","En Tu Basura"
"Reyes Del Camino","Ese"
"Reyes Del Camino","Estrellita"
"Reyes Del Camino","Larga Distancia"
"Reyes Del Camino","Muchacha Bonita"
"Reyes Del Camino","Olvidala"
"Reyes Del Camino","Para Olvidarme De Ti"
"Reyes Del Camino","Que Puedo Hacer Yo Con Tanto Amor"
"Reyes Del Camino","Ser Como Tu"
"Reyes Del Camino, Los","Insoportable"
"Reyes Del Camino, Los","Por Encima De Todo"
"Reyes Locos","El llor¢n"
"Reyes Locos, Los","A Escondidas"
"Reyes Locos, Los","Como Agua Caliente"
"Reyes Locos, Los","La Manana Que Se Fue"
"Reyes, Diana","Cuando Baja La Marea"
"Reyes, Diana","Daria"
"Reyes, Diana","La Socia"
"Reyes, Diana","Las Mil Y Una Noches"
"Reyes, Gerardo","Paso A La Reina"
"Reyli","Amor Del Bueno"
"Reyli","Amor Del Bueno"
"Reyli","Amor Del Bueno (Tono +1)"
"Reyli","Con un pie en el cielo"
"Reyli","Corazon Salvaje"
"Reyli","Perdoname En Silencio"
"Reyli","Que nos paso"
"Reyli","Tres Palabras"
"Reyna, Cornelio","Me Cai De La Nube"
"Reyna, Cornelio","Mil Noches"
"Reyna, Cornelio","Tu Traicion"
"Ricardo Arjona","Dame"
"Ricardo Arjona","Duele verte"
"Ricardo Arjona","Quiero"
"Ricardo Arjona","Te Conozco"
"Ricardo Montaner","Convenceme"
"Richard Smallwood","Trust Me"
"Richard Smallwood","Trust Me (MPX)"
"Ricky Martin","Lo mejor de mi vida eres t£"
"Ricky Martin","Lo mejor de mi vida eres t£"
"Ricky Martin","Pegate"
"Ricky Martin","Te Extrano, Te Olvido, Te Amo"
"Ricky Martin","Te Extrano, Te Olvido, Te Amo (Tono Para Mujer)"
"Rieleros Del Norte","Amor Prohíbido"
"Rieleros Del Norte","Aventura Pasada"
"Rieleros Del Norte","Aventura Pasada (Tono -1)"
"Rieleros del Norte","El columpio"
"Rieleros Del Norte","El Columpio"
"Rieleros Del Norte","El Columpio (Tono -1)"
"Rieleros Del Norte","En Las Cantinas"
"Rieleros Del Norte","En Las Cantinas (Tono -1)"
"Rieleros Del Norte","Golondrina Viajera"
"Rieleros Del Norte","No Me Hagas Menos"
"Rieleros Del Norte","No Me Hagas Menos (Tono -1)"
"Rieleros Del Norte","Noches Eternas"
"Rieleros Del Norte","Noches Eternas (Tono -1)"
"Rieleros Del Norte","Nomás El Pilar Quedó"
"Rieleros Del Norte","Paloma Errante"
"Rieleros Del Norte","Prieta Orgullosa"
"Rieleros Del Norte","Prieta Orgullosa (Tono -1)"
"Rieleros Del Norte","Sin Sangre En Las Venas"
"Rieleros Del Norte","Te Quiero Mucho"
"Rieleros Del Norte","Te Quiero Mucho (Tono -1)"
"Rieleros Del Norte","Ya Para Qué"
"Rieleros Del Norte","Ya Para Qué (Tono -1)"
"Rieleros, Los","China De Los Ojos Negros"
"Rieleros, Los","Dime Quien Es"
"Rieleros, Los","Fue Un Placer Conocerte"
"Rieleros, Los","La Moraleja"
"Rieleros, Los","No Le Digas A Nadie"
"Rieleros, Los","Para Que Quieres Que Vuelva"
"Rieleros, Los","Que El Mundo Ruede"
"Rieleros, Los","Tu Nuevo Carinito"
"Rieleros, Los","Una Aventura"
"Rieleros, Los","Vas A Llorar"
"Rieleros, Los","Ven Y Dime"
"Rieleros, Los","Voy A Llorar Por Ti"
"Rigo Marroquin","Mas me enamora"
"Rigo Tovar","Besando la cruz"
"Rigo Tovar","Besando la cruz"
"Rigo Tovar","Cariño"
"Rigo Tovar","Cariño"
"Rigo Tovar","Dos cosas"
"Rigo Tovar","Dos cosas"
"Rigo Tovar","Golondrina de ojos negros"
"Rigo Tovar","Golondrina de ojos negros"
"Rigo Tovar","La noche y tu"
"Rigo Tovar","La noche y tu"
"Rigo Tovar","La rondalla"
"Rigo Tovar","La rondalla"
"Rigo Tovar","Lamento De Amor"
"Rigo Tovar","Mi derrota"
"Rigo Tovar","Mi derrota"
"Rigo Tovar","Que bonito amor"
"Rigo Tovar","Que bonito amor"
"Rigo Tovar","Tu recuerdo y yo"
"Rigo Tovar","Tu recuerdo y yo"
"Rigo Tovar","Una palomita"
"Rigo Tovar","Una palomita"
"Rihanna","Farewell"
"Rihanna","Farewell (MPX)"
"Rihanna","Get It Over With"
"Rihanna","Get It Over With (MPX)"
"Rihanna","Umbrella"
"Rihanna & Future","Loveeeeeee Song"
"Riley y Los Gilitos","Se fue"
"Rio Roma","Al fin te encontre"
"Rio Roma","Al fin te encontre"
"Rio Roma","Por eso te amo"
"Rios, Miguel","Todo A Pulmon"
"Rivas, Irene","Tonto"
"Rivas, Sona Y Yoshio","El Reencuentro"
"Rivera, Jenni","Ahora Que Estuviste Lejos"
"Rivera, Jenni","Besos Y Copas"
"Rivera, Jenni","Cuando Yo Queria Ser Grande"
"Rivera, Jenni","Cuanto Te Debo"
"Rivera, Jenni","De Contrabando"
"Rivera, Jenni","Homenaje A Mi Madre"
"Rivera, Jenni","La Sopa Del Bebe"
"Rivera, Jenni","Mi Vida Loca 2"
"Rivera, Jenni","Mil Heridas"
"Rivera, Jenni","No Vas A Creer"
"Rivera, Jenni","Que Me Vas A Dar"
"Rivera, Jenni","Querida Socia"
"Rivera, Lupillo","Despreciado Me Voy"
"Rivero, Angelica","Por Amarte"
"Rivero, Carmen","La Pollera Colora"
"Rob White feat. Naomi Emanuel","Anyone Who Had A Heart"
"Rob White feat. Naomi Emanuel","Anyone Who Had A Heart (MPX)"
"Roberto Gomez Bolanos","La Vecindad Del Chavo"
"Roberto Jr","Tamales de Chivo"
"Roberto Jr","Tamales de Chivo"
"Roberto Jr. y Su Bandeno","Aunque pasen los anos"
"Roberto Pulido","El timido"
"Roberto Pulido","Obsesion"
"Roberto Pulido","Obsesion"
"Roberto Pulido","Obsesion"
"Roberto Pulido","Obsesion"
"Roberto Tapia","Mirando al cielo"
"Robin Thicke &","Kendrick Lamargive It 2 U"
"Robles, Salomon","Nina Mia"
"Rocio Durcal","Amor Eterno"
"Rocio Durcal","Costumbres"
"Rocio Durcal","De Serenata"
"Rocio Durcal","Dejame"
"Rocio Durcal","Desaires"
"Rocio Durcal","La gata bajo la lluvia"
"Rocio Durcal","La Guirnalda"
"Rocio Durcal","La Guirnalda (2da Voz)"
"Rocio Durcal","Me Gustas Mucho"
"Rocio Durcal","No Lastimes Mas"
"Rocio Durcal","Nuevamente Sola"
"Rocio Durcal","Que El Mundo Ruede"
"Rocio Durcal","Quedate Conmigo (2nd Voz)"
"Rocio Durcal","Quedate Conmigo Esta noche"
"Rocio Durcal","Tenias que ser tan cruel"
"Rocko feat. Future","Squares Out Your Circle"
"Rocko feat. Future","Squares Out Your Circle (MPX)"
"Rocky Martin","Mas"
"Rocky Martin","Mas"
"Rodriguez, 'El Puma' Jose Luis","Agarrense De Las Manos"
"Rodriguez, 'El Puma' Jose Luis","Amalia Rosa"
"Rodriguez, 'El Puma' Jose Luis","Culpable Soy Yo"
"Rodriguez, 'El Puma' Jose Luis","Dueno De Nada"
"Rodriguez, 'El Puma' Jose Luis","Pareces Feliz"
"Rodriguez, 'El Puma' Jose Luis","Pavo Real"
"Rodriguez, 'El Puma' Jose Luis","Por Si Volvieras"
"Rodriguez, 'El Puma' Jose Luis","Se Busca"
"Rodriguez, 'El Puma' Jose Luis","Te Propongo Separamos"
"Rodriguez, 'El Puma' Jose Luis","Un Toque De Locura"
"Rodriguez, 'El Puma' Jose Luis","Ven"
"Rodriguez, 'El Puma' Jose Luis","Voy A Perder La Cabeza Por Tu Amor"
"Rodriguez, Bienvenido","Quiero Saber De Ti"
"Rodriguez, Chuy","Brindo"
"Rodriguez, Chuy","Cantina De Mi Barrio"
"Rodriguez, Chuy","Por Un Juramento"
"Rodriguez, Silvio","Ojala"
"Rodriguez, Silvio","Te Amare"
"Rodriguez, Silvio","Unicornio"
"Rojas, Tito","Porque Este Amor (salsa)"
"Romo, Daniela","De Mi Enamorate"
"Romo, Daniela Y Mijares","Me Alimento De Ti"
"Rondstadt, Linda","La Cigarra"
"Rondstadt, Linda","Los Laureles"
"Rondstadt, Linda","Tu, Solo Tu"
"Room 5 Feat. Oliver Cheatham","Make Luv"
"Roots & Betty Wright feat. Lil Wayne, The","Grapes On A Vine"
"Roots & Betty Wright feat. Lil Wayne, The","Grapes On A Vine (MPX)"
"Roots & Betty Wright, The","Old Songs"
"Roots & Betty Wright, The","Old Songs (MPX)"
"Rosana","A fuego Lento"
"Rosana","Si Tu No Estas"
"Rosenda Bernal","La Silla Vacia"
"Rubio, Paulina","Algo Tienes"
"Rubio, Paulina","Ayudame"
"Rubio, Paulina","Dame Otro Tequila"
"Rubio, Paulina","El Ultimo Adios"
"Rubio, Paulina","Ni Una Sola Palabra"
"Rubio, Paulina","Si Tu Te Vas"
"Rubio, Paulina","Te Daria Mi Vida"
"Rubio, Paulina","Te Quise Tanto"
"Rubio, Paulina","Yo No Soy Esa Mujer"
"Ruff Endz","Someone To Love You"
"Ruiz, Frankie","Tu Me Vuelves Loco"
"Ryan Adams","Chains Of Love"
"Ryan Adams","Chains Of Love (MPX)"
"Ryan Adams","Dirty Rain"
"Ryan Adams","Dirty Rain (MPX)"
"Ryan Leslie","Ups & Downs"
"Ryan Leslie","Ups & Downs (MPX)"
"Rye Rye","After Party"
"Rye Rye","After Party (MPX)"
"Sabu","El O YO"
"SafetySuit","These Times"
"SafetySuit","These Times (MPX)"
"Saldivar, Mingo","Lindo Carinito"
"Saldivar, Mingo","Rueda De Fuego"
"Salgado, Michael","Palomito Blanca"
"Salomon Robles","Mi manera de querer"
"Salomon Robles","Niña mia"
"Salomon Robles","No Me Compares"
"Salomon Robles","Por Orgullo"
"Salomon Robles","Ya no somos amantes"
"Samuray","Contigo o sin ti"
"Samuray","Contigo O Sin Ti"
"Samuray","Donde Vas Chiquilla"
"Samuray","Tiernas Mentiras"
"San Jose de Mesillas","Aunque sea a escondidas"
"San Jose de Mesillas","Aunque sea a escondidas"
"San Jose de Mesillas","Como la palma de mi mano"
"San Jose de Mesillas","Como la palma de mi mano"
"San Jose de Mesillas","Diez segundos"
"San Jose de Mesillas","Diez segundos"
"San Jose de Mesillas","Diez segundos"
"San Jose de Mesillas","El pasado es pasado"
"San Jose de Mesillas","El pasado es pasado"
"San Jose de Mesillas","Intocable"
"San Jose de Mesillas","Intocable"
"San Jose de Mesillas","Mueveme el pollo"
"San Jose de Mesillas","Mueveme el pollo"
"San Jose de Mesillas","Nada iguales"
"San Jose de Mesillas","Nada iguales"
"San Jose de Mesillas","No es tan s¢lo la mitad"
"San Jose de Mesillas","No es tan s¢lo la mitad"
"San Jose de Mesillas","No tengas miedo"
"San Jose de Mesillas","No tengas miedo"
"San Jose de Mesillas","Porque sin ti"
"San Jose de Mesillas","Porque sin ti"
"San Jose de Mesillas","Se volte¢ la moneda"
"San Jose de Mesillas","Se volte¢ la moneda"
"San Jose de Mesillas","Siempre contigo"
"San Jose de Mesillas","Siempre contigo"
"San Jose de Mesillas","Te Amo y Te Amo"
"San Jose de Mesillas","Te Amo y Te Amo"
"San Jose de Mesillas","Te amo y te amo"
"San Jose de Mesillas","Te amo y te amo"
"Sanchez, Chalino","Alma Enamorada"
"Sanchez, Chalino","Carta De Luto"
"Sanchez, Chalino","Corazoncito Tirano"
"Sanchez, Chalino","Corrido Del Gallito"
"Sanchez, Chalino","Cuatro Espadas"
"Sanchez, Chalino","El Navegante"
"Sanchez, Chalino","Florita Del Alma"
"Sanchez, Chalino","Hermosisimo Lucero"
"Sanchez, Chalino","Las Nieves De Enero"
"Sanchez, Chalino","Los Chismes"
"Sanchez, Chalino","Maria De La Luz"
"Sanchez, Chalino","Me Persigue Tu Sombra"
"Sanchez, Chalino","Nieves De Enero"
"Sanchez, Chalino","Nocturno A Rosario"
"Sanchez, Chalino","Por Una Rencilla Vieja"
"Sanchez, Chalino","Prenda Del Alma"
"Sanchez, Chalino","Una Tarde"
"Sanchez, Cuco","Anillo De Compromiso"
"Sanchez, Cuco","Fallaste, Corazon"
"Sanchez, Cuco","Nuestro Gran Amor"
"Sanchez, Matilde","Echenme La Tierra Encima"
"Sandoval","Lo sabes, lo tienes"
"Sandoval","Lo sabes, lo tienes"
"Sandro","Penas"
"Santa Rosa, Gilberto","Te Propongo"
"Santamaria, Lorenzo","Para Que No Me Olvides"
"Santaneros","Aventurera"
"Santaneros","Beso Borracho"
"Santaneros","Botecito De Vela"
"Santaneros","Con Un Beso"
"Santaneros","Corazon De Acero"
"Santaneros","Dame Mi Corazon"
"Santaneros","En La Cantina"
"Santaneros","Imposible"
"Santaneros","Odio Sin Razon"
"Santaneros","Por Las Calles De Mexico"
"Santaneros","Si Supieras"
"Santaneros","Tres Palabras"
"Santigold","Disparate Youth"
"Santigold","Disparate Youth (MPX)"
"Santigold","Fame"
"Santigold","Fame (MPX)"
"Sanz, Alejandro","A La Primera Persona"
"Sanz, Alejandro","Amiga Mia"
"Sanz, Alejandro","Corazon Partio"
"Sanz, Alejandro","Cuando Nadie Me Ve"
"Sanz, Alejandro","La Fuerza Del Corazon"
"Sanz, Alejandro","Lo Ves"
"Sanz, Alejandro","No Es Lo Mismo"
"Sanz, Alejandro","Y Si Fuera Ella"
"Sanz, Alejandro","Y Solo Se Me Ocurre Amarte"
"Sanz, Alejandro & Lena","Tu Corazon"
"Sarah Jarosz","Run Away"
"Sarah Jarosz","Run Away (MPX)"
"Sasha Sokol","Dulce veneno"
"Sasha Sokol","Dulce veneno"
"Sauceda, Io","Que Vivan Los Novios"
"Sauceda, Mario","Ese Arbolito"
"Sauceda, Mario","Las Noches Las Hago Dias"
"Saucedo, Mario","Una Moneda"
"Saul El Jaguar Alarcon","Luna"
"Saul El Jaguar Alarcon","Numero equivocado"
"Saylors, Los","Golpe Traidor"
"Script, The","Broken Arrow"
"Script, The","Broken Arrow (MPX)"
"Script, The","Give The Love Around"
"Script, The","Give The Love Around (MPX)"
"Script, The","Kaleidoscope"
"Script, The","Kaleidoscope (MPX)"
"Seal","Lean on Me"
"Seal","Lean on Me (MPX)"
"Sebastian Ingrosso & Tommy Trash & John Martin","Reload"
"Sebastian Ingrosso, Tommy Trash & John Martin","Reload"
"Sebastian, Joan","25 Rosas"
"Sebastian, Joan","Alma De Nina"
"Sebastian, Joan","Arcoiris De Papel"
"Sebastian, Joan","Asi Te Quiero"
"Sebastian, Joan","Como Guitarra En Serenata"
"Sebastian, Joan","Contigo"
"Sebastian, Joan","Del 8 De Abril"
"Sebastian, Joan","El Camino Del Amor"
"Sebastian, Joan","El Ilegal"
"Sebastian, Joan","El Peor De Tus Antojos"
"Sebastian, Joan","Hay Un Tren A Las Cinco"
"Sebastian, Joan","Inventario"
"Sebastian, Joan","Jukiantla"
"Sebastian, Joan","Julian"
"Sebastian, Joan","Manantial"
"Sebastian, Joan","Maracas"
"Sebastian, Joan","Me Gustas"
"Sebastian, Joan","Melodia Para Dos"
"Sebastian, Joan","Quiereme"
"Sebastian, Joan","Quiero Compartir"
"Sebastian, Joan","Recuerdame Bonito"
"Sebastian, Joan","Rumores"
"Sebastian, Joan","Secreto de Amor"
"Sebastian, Joan","Sembrador De Amor"
"Sebastian, Joan","Sentimental"
"Sebastian, Joan","Tatuajes"
"Sebastian, Joan","Un Idiota"
"Sebastian, Joan","Verdad Que Duele"
"Sebastian, Joan","Verdad Que Duele"
"Sebastian, Joan","Y Las Mariposas"
"Sebastian, Joan Y Lisa Lopez","Rumores"
"Secada, Jon","Angel"
"Secada, Jon","Otro Dia Mas Sin Verte"
"Seether","No Resolution"
"Seether","No Resolution (MPX)"
"Selena","Amor Prohibido"
"Selena","Amor Prohibido"
"Selena","Baila Esta Cumbia"
"Selena","Baila Esta Cumbia"
"Selena","Besitos"
"Selena","Bidi Bidi Bam Bam"
"Selena","Burnos Amigos"
"Selena","Cobarde"
"Selena","Como La Flor"
"Selena","Como La Flor"
"Selena","Como Te Extrano (tono original) (pete astudillo)"
"Selena","Como Te Extrano (tono para mujer) (pete astudillo)"
"Selena","Dreaming Of You"
"Selena","El Chico Del Apartamento 512"
"Selena","Fotos Y Recuerdos"
"Selena","La Carcacha"
"Selena","La Carchacha"
"Selena","La Llamada"
"Selena","Las Cadenas"
"Selena","No Debes Jugar"
"Selena","No me queda mas"
"Selena","No Me Queda Mas"
"Selena","No Me Queda Mas"
"Selena","Que Creias"
"Selena","Si Una Vez"
"Selena","Si Una Vez"
"Selena","Siempre Hace Frio"
"Selena","Techno Cumbia"
"Selena","Tu Robaste Mi Corazon"
"Selena","Tu, Solo Tu"
"Selena","Tus Despresios"
"Selena","Ven Conmigo"
"Selena","Ya No"
"Selena","Ya ves"
"Selena","Ya ves"
"Selena","Ya Ves"
"Selena Y Alvaro Torres","Buenos Amigos"
"Selena Y Emilio Navaira","Tu Robaste Mi Corazon"
"Sentidos Opuestos","Donde Estan"
"Seoane, Mariana","Una De Dos"
"Seoane, Marianna","Atrevete A Mirarme De Frente"
"Serena Ryder","Stompa"
"Serena Ryder","Stompa (MPX)"
"Sergio Vega","Muchachita de ojos tristes"
"Sergio Vega","Muchachita de ojos tristes"
"Sergio Vega","Necesito duena"
"Sergio, Paulo","La Ultima Cancion"
"Serrat, Joan Manuel","Auellas Pequenas Cosas"
"Serrat, Joan Manuel","Cantares"
"Serrat, Joan Manuel","La Mujer Que Yo Quiero"
"Serrat, Joan Manuel","Palabras De Amor"
"Sesto, Camilo","Algo De Mí"
"Sesto, Camilo","Amor Mio Que Me Has Hecho?"
"Sesto, Camilo","Celos"
"Sesto, Camilo","Con El Viento A Tu Favor"
"Sesto, Camilo","Donde Estes Y Con Quien Estes"
"Sesto, Camilo","El Amor De Mi Vida"
"Sesto, Camilo","Jamás"
"Sesto, Camilo","La Culpa Ha Sido Mia"
"Sesto, Camilo","Llueve Sobre Mojado"
"Sesto, Camilo","Melina"
"Sesto, Camilo","Mi Mundo Tu"
"Sesto, Camilo","No Sabes Cuanto Te Quiere"
"Sesto, Camilo","Perdóname"
"Sesto, Camilo","Quien Sera"
"Sesto, Camilo","Quien Sera? (tono-1)"
"Sesto, Camilo","Quieres Ser Mi Amante?"
"Sesto, Camilo","Si Tu Te Vas"
"Sesto, Camilo","Si Tu Te Vas (tono-1)"
"Sesto, Camilo","Tarde O Temprano"
"Sesto, Camilo","Un Amor No Muere Asi (ranchera)"
"Sesto, Camilo","Un Amor No Muere Asi Como Asi"
"Sesto, Camilo","Vivir Sin Ti"
"Sesto, Camilo & Lani Hall","Corazon Encadenado"
"Sesto, Camilo Y Angela Carrasco","Callados"
"Shakira","Antologia"
"Shakira","Antología"
"Shakira","Ciega, Sordomuda"
"Shakira","Ciega, Sordomuda"
"Shakira","Dia De Enero"
"Shakira","Dia De Enero"
"Shakira","Don't Bother"
"Shakira","Don't Bother"
"Shakira","Donde Estan Los Ladrones"
"Shakira","Donde Estas, Corazon"
"Shakira","Estoy Aqui"
"Shakira","Get it started"
"Shakira","Hips Don't Lie"
"Shakira","Inevitable"
"Shakira","La Pared"
"Shakira","La Pared"
"Shakira","La Tortura"
"Shakira","Las Caderas No Mienten"
"Shakira","Las De La Intuicion"
"Shakira","Las De La Intuicion"
"Shakira","Loca - Ver. Español"
"Shakira","Loca - Ver. Español"
"Shakira","Moscas En La Casa"
"Shakira","No"
"Shakira","No"
"Shakira","Ojos Así"
"Shakira","One, The"
"Shakira","Pies descalzos, sueños blancos"
"Shakira","Pies Descalzos, Suenos Blancos"
"Shakira","Que Me Quedes Tu"
"Shakira","Si Te Vas"
"Shakira","Suerte"
"Shakira","Suerte"
"Shakira","Te Aviso Te Anuncio"
"Shakira","Te Dejo Madrid"
"Shakira","Te Dejo Madrid"
"Shakira","Tu"
"Shakira","Tu"
"Shakira","Underneath Your Clothes"
"Shakira","Underneath Your Clothes"
"Shakira & Alejandro Sanz","La Tortura"
"Shakira & Alejandro Sanz","La Tortura"
"Shakira & Alejandro Sanz","Te Lo Agradezco, Pero No"
"Shakira Y Alejandro Sanz","La Tortura"
"Shawn Colvin","All Fall Down"
"Shawn Colvin","All Fall Down (MPX)"
"Shins, The","It's Only Life"
"Shins, The","It's Only Life (MPX)"
"Shins, The","Simple Song"
"Shins, The","Simple Song (MPX)"
"Silvestre, Flor","Mi Destino Fue Quererte"
"Simbolo","Levantando Las Manos"
"Simbolo, El","1, 2, 3"
"Simple Minds","Don't You Forget About Me"
"Simpson, Ashlee","Pieces Of Me"
"Sin Bandera","A, B, C"
"Sin Bandera","Amor Real"
"Sin Bandera","Amor Real"
"Sin Bandera","De Viaje"
"Sin Bandera","Entra En Mi Vida"
"Sin Bandera","Entra En Mi Vida"
"Sin Bandera","Kilometros"
"Sin Bandera","Kilometros"
"Sin Bandera","Mientes Tan Bien"
"Sin Bandera","Mientes Tan Bien"
"Sin Bandera","Nina Amada Mia"
"Sin Bandera","Para Alcanzarte"
"Sin Bandera","Pero No"
"Sin Bandera","Que Lloro"
"Sin Bandera","Que Lloro"
"Sin Bandera","Que Me Alcance La Vida"
"Sin Bandera","Será"
"Sin Bandera","Si Tu No Estas Aqui"
